user_id,assignments_viewed,assignments_submitted,quiz_started,quiz_submitted,quiz_reviewed,quiz_viewed,forums_viewed,page_views,resources_viewed,quiz_1,quiz_2,assignment,project,final_exam,total_score
246,2,0,1,1,1,20,51,0,10,2.5,0,0,0,0,2.5
248,7,0,2,2,1,54,4,0,3,3,2.75,0,0,0,5.75
249,4,0,0,0,0,3,21,1,8,0,0,0,0,0,0
250,0,0,1,1,0,26,10,0,3,0,2.79,0,0,0,2.79
251,18,0,1,1,1,17,34,6,4,1.5,0,0,0,0,1.5
252,40,3,2,2,2,97,30,0,1,0,3.38,3,17,35.17,58.55
255,18,1,0,0,0,1,5,0,6,0,0,2,0,0,2
257,27,1,3,3,2,64,78,0,46,5,3.58,5,0,0,13.58
258,9,0,1,0,0,13,2,0,6,0,0,0,0,0,0
259,4,0,2,2,1,49,0,0,2,5,3.63,0,0,0,8.63
262,41,3,3,3,2,81,26,0,39,5,4.41,6,15,35.67,66.08
264,30,1,2,2,2,45,30,0,12,3.5,3.87,4,0,0,11.37
268,71,2,3,3,17,166,13,0,26,5,4.31,6,13,28.33,56.65
269,17,1,1,1,10,114,10,0,44,0,0,0,19,33.5,52.5
270,100,2,3,3,8,152,28,4,7,4.5,2.84,6,18,39,70.34
273,29,1,2,2,1,43,73,4,16,4,3.92,4,0,0,11.92
274,74,3,2,2,1,59,48,0,2,3.5,2.45,4,18,29.5,57.45
275,37,4,2,2,1,69,24,0,10,3.5,3.28,5,20,37.17,68.95
276,20,1,2,2,1,76,19,8,28,3,2.25,4,0,0,9.25
277,111,4,3,3,78,201,74,0,31,3.5,3.43,8,28,35.67,78.6
280,40,1,1,1,1,28,80,0,23,2.5,0,7,0,0,9.5
281,0,0,1,1,1,13,4,0,4,2.5,0,0,0,0,2.5
282,80,3,3,3,5,116,38,1,44,3,3.24,5,19,30.33,60.57
287,38,1,3,3,3,76,50,9,20,5,4.41,5,0,0,14.41
290,29,2,3,3,3,116,22,3,11,2,3.28,5,15,26.83,52.12
291,40,1,2,2,1,89,78,1,23,3.5,3.04,4,0,0,10.54
293,4,0,1,1,1,15,11,1,3,4,0,0,0,0,4
294,4,0,0,0,0,2,28,0,15,0,0,0,0,0,0
295,0,0,1,1,3,16,40,5,22,4,0,0,0,0,4
299,40,2,3,3,6,117,35,4,38,5,4.26,4,7,29.5,49.76
306,0,0,1,1,1,20,29,0,2,4.5,0,0,0,0,4.5
308,37,2,4,4,8,151,31,15,10,5,3.43,6,8,33.67,56.1
310,63,2,4,4,11,181,23,37,27,5,3.73,4,19,28.83,60.56
311,56,1,4,4,4,132,19,5,10,5,3.77,0,18,32.5,59.27
313,46,3,5,5,7,134,12,1,28,5,2.25,6,14,29.17,56.42
314,29,1,1,1,1,29,38,15,30,4.5,0,6,0,0,10.5
317,29,2,5,5,4,162,5,0,3,5,4.22,4,21,25.33,59.55
319,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
320,10,1,0,0,0,1,5,0,2,0,0,3,0,0,3
321,39,2,2,2,10,135,30,0,11,0,4.61,0,14,41.33,59.94
324,68,3,3,3,14,125,39,3,49,4.5,4.41,5,16,39.17,69.08
326,51,2,3,3,2,150,94,13,7,4.5,3.43,6,8,25.67,47.6
327,56,4,2,2,3,65,9,1,22,3.5,0,6,14,19.5,43
328,72,2,3,3,91,346,92,4,43,4.5,4.9,4,18,31.5,62.9
329,43,2,3,3,3,276,0,0,0,5,4.41,7,10,43.5,69.91
332,20,1,2,2,1,36,44,4,15,3.5,4.02,2,0,0,9.52
334,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0
339,6,0,0,0,0,8,10,0,1,0,0,0,0,0,0
343,14,1,3,3,5,97,5,1,19,4.5,3.24,0,15,34.83,57.57
354,13,0,2,2,3,35,3,0,1,5,0,0,0,0,5
360,74,3,3,3,11,124,51,0,61,2,2.89,6,18,23.5,52.39
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,18,1,2,2,1,52,2,0,2,4.5,4.31,7,0,0,15.81
365,74,3,3,3,3,168,72,2,22,5,3.82,5,18,34.33,66.16
367,56,3,2,2,2,88,6,0,9,4,0,4,17,32.17,57.17
368,10,0,5,5,6,89,21,0,2,5,2.3,0,0,0,7.3
372,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
376,9,0,1,1,1,15,4,0,3,2.5,0,0,0,0,2.5
380,118,1,3,3,0,88,4,0,27,1,1.03,3,0,0,5.03
392,0,0,1,1,1,20,13,0,3,4,0,0,0,0,4
398,2,0,2,2,3,38,10,0,3,5,0,0,0,0,5
401,57,1,1,1,0,57,22,1,29,0,2.01,4,0,0,6.01
404,29,2,3,3,7,148,69,1,24,4,3.68,7,15,32.5,62.18
